refcalc,nmodes,{iter,R,f,size}*nmodes,L,b,Ys,c11,e31,eps33,hs,hp,ps,pp
61,3,38,100211.09375,-4.8210266526776983653,0.0078125,0.027863557960308881628,0.0050514519054216571251,71309343750.732650757,64587798932.142463684,-10.510599459870997308,1.4380642948053143774e-08,4.6791558974325451071e-05,0.0001510783834271498048,2684.7991730434814599,7048.3010527786336752
62,3,41,111523.390625,-4.7587943469191289481,0.0078125,0.029175761163316556168,0.0053131294678026479497,72313327831.827728271,65485057142.183677673,-9.8214654962632170765,1.3086039475908521693e-08,4.5710918163280432754e-05,0.00015868117517963106267,2638.9679737151450354,7146.8874672296860808
63,3,41,128944.84375,-4.4930104815804270402,0.0078125,0.032483286796828401977,0.0052492236866379261145,75415483358.509597778,59550974681.717796326,-10.161652601064020018,1.3277552843404725608e-08,5.171705385051530773e-05,0.00014436404907580653112,2692.34226756838234,7714.2478647824600557
64,3,38,104367.890625,-4.8412018083762822229,0.0078125,0.02789047966659556968,0.0051297453407336702363,63397404157.741645813,63951641542.954208374,-10.241560617499779084,1.3516946483844400661e-08,5.1481945787780894269e-05,0.00015308949352153087696,2493.4526690856800997,7161.0695930831461737
65,3,38,135125.859375,-4.6366488165565531432,0.0078125,0.030901644717856145,0.0049801318033040184105,76064441131.923553467,58749244221.695343018,-10.083339630851213542,1.23823871888557387e-08,5.2350755341980028941e-05,0.00014756553762711841654,2939.9788532266293259,7164.1825573934156637
66,3,39,123399.390625,-4.7137342916627016365,0.0078125,0.030178478369106760681,0.0053582864165577503979,75197877292.613433838,59982112938.203903198,-9.8581888059611380015,1.2652787029949383478e-08,5.4081278536040931304e-05,0.00016233657702213925649,2737.163784181309893,7585.6176448104051815
67,3,38,108963.921875,-4.6980117097427420703,0.0078125,0.029328920039501469447,0.0052172351007895700209,63331690910.426757812,59981780084.446899414,-10.315079697964284478,1.3160401679291577093e-08,5.4980981801627660361e-05,0.00013822102530078078826,2457.2713744208549542,7154.1848397949643186
68,3,38,107879.890625,-4.7249403705842629719,0.0078125,0.028364474452736078425,0.0052007766648664958964,71340288960.533355713,56859158653.653762817,-9.3938800505706474553,1.4479695007339907766e-08,4.8156195531206302308e-05,0.00015754092060147828155,2625.6666336654066072,7378.0384964323784516
69,3,38,125989.9375,-4.4716668322035291183,0.0078125,0.032240503697302427821,0.0053920920127500278352,64656357535.001060486,63985269629.063674927,-10.002009984851818913,1.2921814770042810751e-08,4.5013810852548954468e-05,0.0001415035950050240281,2575.2839412192274722,7858.8145071099579582
70,3,38,113507.046875,-4.5267476247843765336,0.0078125,0.030664400206722505077,0.0051571976755080727386,67024132113.915000916,62639992023.231460571,-9.5133730155198712453,1.3955985101240679512e-08,4.5819450035141527286e-05,0.00013715505619168051046,2891.1483631847186189,7180.293701265609343
71,3,40,110941.703125,-4.7936116224049394319,0.0078125,0.028124629973026286228,0.0045813908591314173382,74665138996.981613159,64454713705.999176025,-9.8633134787638265806,1.4229703783029551549e-08,5.2266676182517168565e-05,0.00015172791561425102297,2754.4734287841588412,7112.9705153116819929
72,3,44,135832.375,-4.5018124388933049573,0.0078125,0.031905732144092084634,0.0049742940028544013753,76735473478.089767456,66318385973.48815918,-9.8154955273007473693,1.2740771959456974626e-08,4.7937583780352765453e-05,0.0001416110795860230304,2703.5372131380891005,7847.3442061209789244
73,3,39,154501.421875,-4.6325538726016981528,0.0078125,0.031743433366875829782,0.004617283762021587995,66080005441.36390686,55851724872.901908875,-10.923555423376873463,1.2751341524860515434e-08,5.3246211757998083893e-05,0.00016000963025028335082,2627.4092157452409992,8026.8294205199135831
74,3,38,139374.34375,-4.4940412256733610619,0.0078125,0.032796611345278385563,0.0050530109505881604104,73639866793.826156616,64651778480.388122559,-10.059263146770774711,1.197523519608436047e-08,5.1488388048712350185e-05,0.00013688555468892936559,2732.1652654754766445,7362.059062783167974
75,3,42,117772.4375,-4.7144862315178945877,0.0078125,0.027911190351895612261,0.0048771873299857538414,73136133381.22895813,56522237740.746810913,-10.011290860553872406,1.4478374046854847517e-08,4.9227342011512882332e-05,0.00015320636952212377956,2518.2182237637312028,8415.391124291527376
76,3,39,98346.5,-4.8073288638513060889,0.0078125,0.028018090183389413733,0.0054539393088565849346,63651957010.222579956,59654121453.666183472,-9.4264550522279240141,1.4093418671453100724e-08,5.1834195017271766329e-05,0.00016069712160420468895,2771.2433003640003335,7050.9377913903153967
77,3,42,116970.34375,-4.5142194470460106359,0.0078125,0.030211022074898251366,0.0050980339281251809552,71428043036.920974731,58500962133.612930298,-10.186508867827480884,1.4465578162789147638e-08,4.7971289499183786069e-05,0.00013638596511044817259,2430.5611149410538019,8302.8760973493917845
78,3,38,127430.171875,-4.7723535064966053909,0.0078125,0.028775486171141027858,0.0046529041603919603712,66274342202.243553162,55143071441.186157227,-9.9546188913819459998,1.3425025830480748011e-08,5.4629216505973232794e-05,0.00015625826005882502705,2513.0958350296577919,7170.7475340439696083
79,3,39,135958.21875,-4.6829399987576199038,0.0078125,0.030827359586873725322,0.0048235628732124164256,64123192560.45072937,63250431792.694343567,-10.843549515923275095,1.2268392374430965909e-08,4.9827393183869959122e-05,0.00014689993383917022128,2953.1240846883151789,7152.7406012302917588
80,3,39,138596.46875,-4.6483347518348319127,0.0078125,0.029673939508699783557,0.0050039186503290748742,72977873972.606781006,55481447832.27771759,-11.022085321350994391,1.2262773741536203799e-08,5.4858469380931219872e-05,0.00013788625292614393753,2514.3826428262436821,8504.6733617455101921
81,4,38,145331.796875,-4.4749108740578886767,0.0078125,0.032717416123355470836,0.0049521785152387698403,64957062803.188835144,57178768126.144432068,-10.341973000998596177,1.3102268014853945164e-08,5.2337864645448450927e-05,0.00014805072163373729759,2502.507601116089063,8350.8848428148230596
82,3,45,110985.71875,-4.6729533235637852329,0.0078125,0.030367876716595087333,0.0052721665998791186064,65957227192.33354187,62726798084.483856201,-10.309786702240717915,1.4429104759022175578e-08,5.2537184109695806811e-05,0.00016318102621854329551,2603.415564444575466,8094.8234089975358074
